HD 152843 b	349488688
HD 152843 c	349488688
HD 93963 A c	368435330
HD 106315 c	56815340
TOI-251 b	224225541
TOI-1268 b	142394656
GJ 9827 d	301289516
TOI-3540 A b	17865622
K2-198 b	135043332
TOI-1728 b	285048486
TOI-620 b	296739893
Kepler-550 b	273376082
LP 714-47 b	70899085
CoRoT-10 b	405010127
NGTS-6 b	1528696
HIP 67522 b	166527623
K2-121 b	7059054
TOI-763 c	178819686
TOI-257 b	200723869
HATS-29 b	201604954
Kepler-481 b	26541093
Kepler-785 b	137402055
HIP 65 A b	201248411
K2-266 d	374180079
TOI-776 b	306996324
TOI-2109 b	392476080
HATS-66 b	52689469
TOI-892 b	66561343
